,permission,NAME,email,phone,username,password,event,rank_amout,completed ,profile,company,job title,track
,2,Fedex Supply Chain,email@email.com,,,,10,20,0,0,,,
,2,LTX,email@email.com,,,,10,20,0,0,,,
,2,KNAPP,email@email.com,,,,10,20,0,0,,,
,2,LandStar Transportation Logistics,email@email.com,,,,10,20,0,0,,,
,2,GT Nexus,email@email.com,,,,10,20,0,0,,,
,2,Logility,email@email.com,,,,10,20,0,0,,,
,2,BillerudKorsnäs,email@email.com,,,,10,20,0,0,,,
,2,Intelligrated,email@email.com,,,,10,20,0,0,,,
,2,Seko Logistics,email@email.com,,,,10,20,0,0,,,
,2,Navigator,email@email.com,,,,10,20,0,0,,,
,2,MacroPoint,email@email.com,,,,10,20,0,0,,,
,2,Apex Supply Chain Technologies,email@email.com,,,,10,20,0,0,,,
,2,Compete Consulting Group,email@email.com,,,,10,20,0,0,,,
,2,Geodis,email@email.com,,,,10,20,0,0,,,
,2,Grenzebach Corporation,email@email.com,,,,10,20,0,0,,,
,2,Flexport,email@email.com,,,,10,20,0,0,,,
,2,Software Solutions,email@email.com,,,,10,20,0,0,,,
,2,OM Partners,email@email.com,,,,10,20,0,0,,,
,2,Symphony GOLD,email@email.com,,,,10,20,0,0,,,
,2,Lowry Solutions,email@email.com,,,,10,20,0,0,,,
,2,OnTrac,email@email.com,,,,10,20,0,0,,,
,2,ARCO National Construction,email@email.com,,,,10,20,0,0,,,
,2,TAKE Solutions,email@email.com,,,,10,20,0,0,,,
,2,Tecsys,email@email.com,,,,10,20,0,0,,,
,2,St. Onge,email@email.com,,,,10,20,0,0,,,
,2,SSI Schaefer,email@email.com,,,,10,20,0,0,,,
,2,ScottTech Integrated Solutions,email@email.com,,,,10,20,0,0,,,
,2,Pelyco Systems,email@email.com,,,,10,20,0,0,,,
,2,Cubic Designs,email@email.com,,,,10,20,0,0,,,
,2,Banyan Technology,email@email.com,,,,10,20,0,0,,,
,2,Mode Transportation,email@email.com,,,,10,20,0,0,,,
,2,Sensitech,email@email.com,,,,10,20,0,0,,,
,2,Riskmethods,email@email.com,,,,10,20,0,0,,,
,2,ToolsGroup,email@email.com,,,,10,20,0,0,,,
,2,Raven Bay Services,email@email.com,,,,10,20,0,0,,,
,2,Kenandy,email@email.com,,,,10,20,0,0,,,
,2,Honeywell,email@email.com,,,,10,20,0,0,,,
,2,Technology Evaluation Centers,email@email.com,,,,10,20,0,0,,,
,2,Every Angle,email@email.com,,,,10,20,0,0,,,
,2,Bureau van Dijk,email@email.com,,,,10,20,0,0,,,
,2,TransVoyant,email@email.com,,,,10,20,0,0,,,
,2,Spend Management Experts,email@email.com,,,,10,20,0,0,,,
,2,Liaison,email@email.com,,,,10,20,0,0,,,
,2,GTMS,email@email.com,,,,10,20,0,0,,,
,2,Bisk ,email@email.com,,,,10,20,0,0,,,
,2,AFMS,email@email.com,,,,10,20,0,0,,,
,2,Sigfox,email@email.com,,,,10,20,0,0,,,
,2,"Savi Technology, Inc.",email@email.com,,,,10,20,0,0,,,
,2,VAI,email@email.com,,,,10,20,0,0,,,
,2,ICECORP Logistics Inc,email@email.com,,,,10,20,0,0,,,
,2,Acumatica,email@email.com,,,,10,20,0,0,,,
,2,AdaptOne,email@email.com,,,,10,20,0,0,,,
,2,Sunset Transportation,email@email.com,,,,10,20,0,0,,,
,2,Transportation Impact,email@email.com,,,,10,20,0,0,,,
,2,Christopher Morgan Fulfillment Services,email@email.com,,,,10,20,0,0,,,
,2,Kofax,email@email.com,,,,10,20,0,0,,,
,2,Ratelinx,email@email.com,,,,10,20,0,0,,,
,2,Intelligent Audit,email@email.com,,,,10,20,0,0,,,
,2,Pool4Tool,email@email.com,,,,10,20,0,0,,,
,2,Minerva,email@email.com,,,,10,20,0,0,,,
,2,B-Stock ,email@email.com,,,,10,20,0,0,,,
